Date,Link,Title
2019-04-23,https://medium.com/@FloraBertin/5-important-lessons-my-startup-sales-job-taught-me-ab1fea9f410c?source=topic_page---------0------------------1,5 Important Lessons My Startup Sales Job Taught Me
2019-04-23,https://medium.com/forbes/mirage-or-vision-4-blind-spots-at-the-core-of-theranos-failure-fc49ba09ecca?source=topic_page---------1------------------1,Mirage or Vision? 4 Blind Spots at the Core of Theranos’ Failure.
2019-04-23,https://medium.freecodecamp.org/how-to-deliver-training-and-career-growth-in-a-small-startup-8ddfe3afead2?source=topic_page---------2------------------1,How to deliver training and career growth in a small startup
2019-04-23,https://medium.freecodecamp.org/why-new-developers-should-work-at-a-small-startup-79790e2d93ff?source=topic_page---------4------------------1,Why new developers should work at a small startup
2019-04-23,https://medium.com/@the_economist/the-wave-of-unicorn-ipos-reveals-silicon-valleys-groupthink-571e74e683b1?source=topic_page---------5------------------1,The Wave of Unicorn IPOs Reveals Silicon Valley’s Groupthink
2019-04-23,https://medium.com/swlh/fyre-festival-achieved-perfect-product-market-fit-and-thats-why-we-should-question-the-lean-a6a45fcb735a?source=topic_page---------6------------------1,Fyre Festival achieved perfect product-market fit (and that’s why we should question the Lean…
2019-04-23,https://medium.com/@tastenmtl/how-to-rapidly-scale-a-startup-reflections-from-a-failure-to-launch-e42980193964?source=topic_page---------7------------------1,How to Rapidly Scale A Startup: Reflections from a Failure to Launch
2019-04-23,https://medium.com/predict/what-i-have-learned-after-several-ai-projects-131e345ac5cd?source=topic_page---------8------------------1,What I have learned after several AI projects
2019-04-23,https://medium.com/@jproco/how-to-pay-startup-employees-fairly-7ccd7bef52a9?source=topic_page---------9------------------1,How To Pay Startup Employees Fairly
2019-04-23,https://towardsdatascience.com/robots-aging-population-and-pets-c84cdd5214cb?source=topic_page---------0------------------1,Robots Aging Population and Pets
2019-04-23,https://towardsdatascience.com/a-new-data-scientists-reflections-on-culture-progress-technology-70054782880f?source=topic_page---------1------------------1,A New Data Scientist’s Reflections on Culture Progress & Technology
2019-04-23,https://medium.com/the-new-york-times/silicon-valley-came-to-kansas-schools-that-started-a-rebellion-8bc6c749b225?source=topic_page---------2------------------1,Silicon Valley Came to Kansas Schools. That Started a Rebellion.
2019-04-23,https://medium.com/mit-technology-review/south-korea-what-a-nuclear-waste-745af7b20fb3?source=topic_page---------4------------------1,South Korea: What a Nuclear Waste
2019-04-23,https://medium.com/thoughtmatter/the-gift-of-inconvenience-af7026f6a36d?source=topic_page---------5------------------1,The Gift of Inconvenience
2019-04-23,https://medium.com/the-atlantic/whos-really-buying-property-in-san-francisco-ecc2899fc3b3?source=topic_page---------6------------------1,Who’s Really Buying Property in San Francisco?
2019-04-23,https://medium.com/@barryvacker/the-co-star-app-astrology-media-tech-and-the-hubble-universe-6bd0978c1c40?source=topic_page---------7------------------1,The “Co-Star” App—Astrology Media Tech and the Hubble Universe
2019-04-23,https://medium.com/the-guardian/facial-recognition-is-big-techs-latest-toxic-gateway-app-596375778cb1?source=topic_page---------8------------------1,Facial Recognition Is Big Tech’s Latest Toxic ‘Gateway’ App
